Date,Open,High,Low,Close,Adj Close,Volume
02/06/2018,7530.8,7694.5,7467.9,8398.44,8398.44,0
01/06/2018,7502.5,7610.4,7375.8,9017.58,9017.58,0
31/05/2018,7400.8,7611.9,7355.0,9308.45,9308.45,0
30/05/2018,7469.2,7565.2,7306.8,9181.42,9181.42,0
29/05/2018,7119.3,7533.0,7069.8,9361.96,9361.96,0
28/05/2018,7367.3,7446.9,7090.6,9599.88,9599.88,0
27/05/2018,7361.9,7411.8,7267.5,9812.81,9812.81,0
26/05/2018,7478.5,7619.3,7331.5,9691.37,9691.37,0
25/05/2018,7593.9,7653.4,7355.6,9727.5,9727.5,0
24/05/2018,7512.3,7736.6,7293.4,9211.7,9211.7,0
23/05/2018,8005.7,8047.4,7467.6,9059.84,9059.84,0
22/05/2018,8403.8,8414.5,7979.3,9244.38,9244.38,0
21/05/2018,8529.5,8550.6,8375.5,9393.29,9393.29,0
20/05/2018,8243.9,8580.4,8184.7,9343.83,9343.83,0
19/05/2018,8244.7,8389.1,8153.2,8926.0,8926.0,0
18/05/2018,8064.4,8273.6,7939.8,9280.95,9280.95,0
17/05/2018,8344.6,8458.7,8022.3,8865.01,8865.01,0
16/05/2018,8477.0,8496.4,8120.1,9649.99,9649.99,0
15/05/2018,8674.0,8842.1,8436.5,8933.0,8933.0,0
14/05/2018,8693.4,8878.3,8305.1,8800.0,8800.0,0
13/05/2018,8489.1,8758.4,8330.0,8920.0,8920.0,0
12/05/2018,8409.6,8646.1,8184.1,8847.07,8847.07,0
11/05/2018,9026.0,9028.7,8359.6,8269.3,8269.3,0
10/05/2018,9319.2,9393.3,9013.4,8167.0,8167.0,0
09/05/2018,9194.9,9377.9,8988.0,7890.3,7890.3,0
08/05/2018,9373.9,9404.4,9079.8,8052.27,8052.27,0
07/05/2018,9651.1,9675.6,9204.2,8357.43,8357.43,0
06/05/2018,9859.6,9957.7,9446.7,7998.07,7998.07,0
05/05/2018,9709.5,9992.8,9691.3,7875.94,7875.94,0
04/05/2018,9747.6,9800.9,9549.0,7920.39,7920.39,0
03/05/2018,9244.2,9809.4,9171.4,6939.43,6939.43,0
02/05/2018,9076.8,9265.7,8991.9,6830.68,6830.68,0
01/05/2018,9245.1,9245.1,8851.0,6771.01,6771.01,0
30/04/2018,9415.8,9456.7,9135.4,7022.72,7022.72,0
29/04/2018,9352.2,9565.1,9182.8,6895.99,6895.99,0
28/04/2018,8940.8,9428.9,8895.5,6592.94,6592.94,0
27/04/2018,9282.8,9386.3,8920.2,6777.0,6777.0,0
26/04/2018,8874.5,9303.6,8669.8,6794.31,6794.31,0
25/04/2018,9645.0,9753.1,8768.1,7418.53,7418.53,0
24/04/2018,8952.7,9734.8,8937.0,7049.99,7049.99,0
23/04/2018,8809.3,9001.0,8785.3,6811.02,6811.02,0
22/04/2018,8923.6,9022.3,8766.5,6920.5,6920.5,0
21/04/2018,8867.0,9027.7,8614.5,6838.71,6838.71,0
20/04/2018,8292.3,8926.2,8224.5,7086.6,7086.6,0
19/04/2018,8179.0,8303.7,8126.7,7941.87,7941.87,0
18/04/2018,7908.5,8227.6,7895.3,7794.46,7794.46,0
17/04/2018,8070.0,8171.7,7852.8,8149.46,8149.46,0
16/04/2018,8362.2,8412.9,7908.5,8457.04,8457.04,0
15/04/2018,8004.6,8411.5,8004.6,8540.33,8540.33,0
14/04/2018,7891.1,8180.2,7839.3,8925.0,8925.0,0
13/04/2018,7926.9,8228.0,7756.6,8710.44,8710.44,0
12/04/2018,6963.3,8009.6,6779.3,8902.53,8902.53,0
11/04/2018,6855.6,6988.6,6818.4,8904.23,8904.23,0
10/04/2018,6782.6,6899.5,6671.6,8599.01,8599.01,0
09/04/2018,7035.7,7192.5,6633.2,8197.29,8197.29,0
08/04/2018,6905.9,7113.4,6903.9,7870.99,7870.99,0
07/04/2018,6624.5,7071.9,6616.1,8265.81,8265.81,0
06/04/2018,6783.7,6859.7,6523.4,8266.99,8266.99,0
05/04/2018,6808.7,6918.2,6592.5,8198.82,8198.82,0
04/04/2018,7423.8,7432.9,6726.9,9146.52,9146.52,0
03/04/2018,7067.2,7519.3,7032.9,9110.39,9110.39,0
02/04/2018,6825.4,7121.3,6787.6,9530.94,9530.94,0
01/04/2018,6939.1,7047.7,6460.1,8769.2,8769.2,0
31/03/2018,6856.5,7221.5,6804.9,9257.0,9257.0,0
30/03/2018,7132.4,7288.1,6603.8,9295.77,9295.77,0
29/03/2018,7955.2,7980.7,6954.9,9884.26,9884.26,0
28/03/2018,7803.0,8110.4,7754.5,10696.87,10696.87,0
27/03/2018,8146.5,8218.3,7760.6,11400.01,11400.01,0
26/03/2018,8474.0,8515.7,7865.9,11467.19,11467.19,0
25/03/2018,8549.1,8679.0,8392.2,11433.72,11433.72,0
24/03/2018,8917.3,9008.8,8523.6,11027.77,11027.77,0
23/03/2018,8725.3,8917.0,8305.6,10900.95,10900.95,0
22/03/2018,8903.7,9096.2,8499.1,10296.86,10296.86,0
21/03/2018,8912.4,9173.4,8775.1,10562.46,10562.46,0
20/03/2018,8614.1,9039.6,8326.8,10300.0,10300.0,0
19/03/2018,8200.9,8698.3,8127.7,9595.0,9595.0,0
18/03/2018,7873.2,8283.6,7323.3,9697.21,9697.21,0
17/03/2018,8198.0,8344.8,7760.2,10161.62,10161.62,0
16/03/2018,8264.3,8604.8,7929.1,9829.96,9829.96,0
15/03/2018,8210.2,8427.0,7691.7,10475.0,10475.0,0
14/03/2018,9154.9,9353.4,7958.5,11206.22,11206.22,0
13/03/2018,9138.7,9482.0,8875.1,11166.92,11166.92,0
12/03/2018,9535.8,9892.2,8804.1,10403.01,10403.01,0
11/03/2018,8732.2,9719.6,8516.4,11100.0,11100.0,0
10/03/2018,9216.2,9500.0,8691.1,10183.63,10183.63,0
09/03/2018,9301.9,9420.5,8351.0,10017.18,10017.18,0
08/03/2018,9910.7,10109.0,9037.0,9480.27,9480.27,0
07/03/2018,10779.0,10899.0,9422.1,8519.07,8519.07,0
06/03/2018,11314.2,11316.4,10412.0,8900.0,8900.0,0
05/03/2018,11415.7,11506.9,11281.2,8073.9,8073.9,0
04/03/2018,11402.8,11490.3,10878.4,8553.5,8553.5,0
03/03/2018,10822.5,11420.7,9585.5,8697.78,8697.78,0
02/03/2018,10904.5,11167.0,10677.1,8200.0,8200.0,0
01/03/2018,10335.1,11047.8,10248.7,7582.76,7582.76,0
28/02/2018,10584.4,11070.7,10303.4,7682.75,7682.75,0
27/02/2018,10287.8,10867.2,10120.5,6892.67,6892.67,0
26/02/2018,9590.9,10378.4,9410.3,8162.94,8162.94,0
